LastUpdate,Size,Version,Name,Rating,Downloads,andriodRequirements,Permissions,DeveloperLink,ratingCount,Developer,Description
1 August 2016, 9.5M  , 1.5.0  ,Ola Money,3.1," 100,000 - 500,000 ",     4.0 and up   ,"read your contacts,approximate location (network-based),read your text messages (SMS or MMS)
receive text messages (SMS),read phone status and identity,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
run at startup
control vibration
prevent device from sleeping","https://www.google.com/url?q=https://www.olamoney.com&sa=D&usg=AFQjCNEqJpfZJSRYHNZW2YaAvW8nAQQsVA,mailto:care@zipcash.in,https://www.google.com/url?q=https://olamoney.com/images/pdf/Privacy_Policy_v20150810-819b718240.pdf&sa=D&usg=AFQjCNF1XM4-g-QtrGshQZVMnfpd0-7GJg","5,047",olacabs,"India’s easiest, fastest and safest - Ola Money wallet is here with all new user experience and one tap access to all your daily needs. Ola Money can be recharged via Credit Card, Debit Card, and Net Banking. You can make prepaid mobile recharges and pay your postpaid bills with just one click.,What we offer?,- Send money to your loved ones anytime, anywhere with a tap,- Easy mobile recharges and postpaid bill payments,- Recharge your DTH and Data Cards,- Recharge you Mumbai Metro card in one go,- Discover great deals and offers everyday on our merchants,- Safest and fastest wallet: you will be done with all transactions in just one click,- Use saved cards to make even faster recharges and postpaid bill payments,- Check your transaction history and remember where you spent your Ola Money,Ola Money is the smartest way to pay!,The joy of paying for your OlaCabs rides with Ola Money can be experienced at many more places like Cleartrip, Cafe Coffee Day, TinyOwl and Mumbai Metro with just one touch! And this is just the beginning as we will keep bringing more and more merchants where you can use your Ola Money.,For any queries, mail to care@zipcash.in We will get back to you soon!,Thanks,Team Ola Money"
15 July 2016, 6.1M  , 2.1.0  ,State Bank Anywhere-Asso Banks,3.8," 500,000 - 1,000,000 ",     2.2 and up   ,"read phone status and identity,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
control vibration","mailto:sbi.mobility@gmail.com,https://www.google.com/url?q=https://retail.sbbjonline.com/sbijava/sbbj/privacystatement.html&sa=D&usg=AFQjCNFV9aQEa1kG3A_qkS3xa2bUPMiaCA","11,380",State Bank of India,"State Bank Anywhere - Asso Banks is State Bank Group Associate Banks (State Bank  of  Bikaner & Jaipur, State Bank of Hyderabad, State Bank of Mysore, State Bank of Patiala, State Bank of Travancore) retail internet banking based application for your smartphones. A common smartphone application for all Associate Banks customers and its safe, convenient and easy to use application with a host of features to help users manage your finances on the move. Download from Google Play store Only. Do not use any other websites for downloading this application. Users will have to choose their bank and Login to this mobile application using their existing Internet Banking Userid and password. ,The app functionality are discussed below :,My Accounts,• Show case overview of 4 account variant (Transaction / Deposit /Loan / PPF),• Selection of account number ,• Detailed account information,• Mini Statement (Last 10 transactions),Banking ,• Funds Transfer (Own A/c),• Intra-Bank (Within Bank) Transfer,• Inter-Bank (Other Banks) Transfer (NEFT/State Bank Group Transfer),• Fixed Deposit,• Recurring Deposit ,• ATM Card Blocking,• Cheque Book Request,• Call Us,Bill Payments,• With Bill,• Without Bill,• View Biller,• Scheduled Bill,All you need :,• A smart phone with Android Operating System (OS 2.3 or above).,• Internet connectivity like GPRS/EDGE/3G/Wi-Fi.,• Existing Retail (personal) Internet Banking username and password with Transaction Rights.,Note:,• Currently this app supports only Associate Banks Retail Internet Banking customers who already registered for internet banking facility.  Users will have to choose their bank and login with their Internet Banking User-id and Password.  New users kindly register for Internet Banking and enjoy seamless banking activity using our mobile application.,For feedback & suggestions, kindly send email to the respective bank email-id,inbcell@sbbj.co.in,ibanking@sbhyd.co.in,ibanking@sbm.co.in,inb@sbp.co.in,inb@sbt.co.in"
17 May 2016, 1.8M  , 1.51  ,PNB MobiEase,4.1," 100,000 - 500,000 ",     2.2 and up   ,"read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read phone status and identity,full network access","https://www.google.com/url?q=https://www.pnbindia.in&sa=D&usg=AFQjCNHXcMcwCbBYGskbk-RoJFuwI9rpIg,mailto:mobhelp@pnbindia.in","1,071",PNB,
23 September 2016,  Varies with device ,  Varies with device ,Splitwise,4.6," 1,000,000 - 5,000,000 ",  Varies with device   ,"retrieve running apps,find accounts on the device,find accounts on the device
read your contacts,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
create accounts and set passwords
full network access
read sync settings
use accounts on the device
control vibration
prevent device from sleeping
toggle sync on and off","https://www.google.com/url?q=http://splitwise.com&sa=D&usg=AFQjCNFAb1senjtxJFqvduh1HWLd8ELOpA,mailto:android-support@splitwise.com,https://www.google.com/url?q=https://secure.splitwise.com/terms&sa=D&usg=AFQjCNEXZajwllD4W-zwfuDzrKxX0PDRTw","42,519",Splitwise,"Use Splitwise to split household bills with roommates, to figure out costs for a group vacation, or just to remember when a friend spots you for lunch. On Android, iPhone, or the web (http://splitwise.com), you can view your balances, track spending trends, set up email reminders for bills, and much much more!,""I only wish such a tool had been available when I was a new college graduate..."" – Ann Carrns, NYTimes Bucks Blog,""Whoa, @split_wise is what we always wanted livewith.us to be. Totally going to use this in my new apt instead of my own software."" – @aroldan"
2 September 2016, 9.8M  , 3.1.0  ,Angel Broking,3.5," 50,000 - 100,000 ",     4.0 and up   ,"retrieve running apps,find accounts on the device
read your own contact card,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
draw over other apps
use accounts on the device
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.angelbroking.com/&sa=D&usg=AFQjCNHUfVBa8SRs9uheJ39qy9OfvM4xHQ,mailto:products@angelbroking.com,https://www.google.com/url?q=http://www.angelbroking.com/disclaimers/privacy-policy.aspx&sa=D&usg=AFQjCNHYjyXJAq1lomaDJXoofjKRxgyr0A","1,432",Angel Broking Pvt. Ltd.,"So, Download & Install Angel Broking mobile app Now to Enjoy:,•	Live streaming prices,•	ARQ - Personalized advisory offering index-beating returns,•	Intraday charts with Indicators,•	Online Payment vide 40+ Banks ,•	Quick and easy fund transfer with Savings Account ,•	Multiple Watch lists across segments,•	In-depth Reports of Indian & Global Markets,•	Instant News Updates,•	Market Trends to help you keep a tab on every movement in the market,•	Invest in Mutual Funds,•	Profiling based mutual funds advisory.,•	View your Funds summary reports and Mark payout for your holdings,•	View your detail Profile information,•	Now track your basic portfolio for Equity and Mutual funds.,• 	View advisory calls,detail research reports.,•	View Basic ratios and last 5 corporate actions for stocks.,•	View detail research reports.,•	Introducing One Tap Access. Access portfolio, reports using a One Time Password(OTP). Register once and get direct access to all Non-trading information in the app. Its as simple as a single TAP.,•	Use our chart component to get the detailed insight on stocks. View historical charts with OHLC and Candlestick.,•	Use around 40 technical chart indicators and overlays to help you analyze each and every aspect of the stocks.,•	Now Improve your Equity and Mutual fund portfolio performance with ARQ based Portfolio health check utility and give yourself a chance to maximize returns.,•	View our improved stock ARQ section with various investment buckets. Choose from various rebalancing frequency to maximize returns.,•	Now receive personalized notifications for trades and ideas. Receive daily news to keep you up to date with Markets.,And by the time you get used to trading through this marvelous platform, we’ll be working towards introducing several new amazing features to further improve your trading experience & make it exceptionally gratifying."
16 September 2016, 23M  , 6.0.8  ,IndusMobile,3.8," 100,000 - 500,000 ",     4.0 and up   ,"read your contacts,approximate location (network-based)
precise location (GPS and network-based),receive text messages (SMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,read phone status and identity,receive data from Internet
view network connections
full network access
run at startup
control vibration
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.indusind.com&sa=D&usg=AFQjCNFbB2nsEJlo36-aOxqmL2axMsY8OQ,mailto:reachus@indusind.com,https://www.google.com/url?q=http://www.indusind.com&sa=D&usg=AFQjCNFbB2nsEJlo36-aOxqmL2axMsY8OQ","6,357",IndusInd Bank Ltd.,
8 September 2016, 5.2M  , 1.0.35  ,PNB UPI,3.6," 10,000 - 50,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device,approximate location (network-based)
precise location (GPS and network-based),receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage,read the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping
read Google service configuration",mailto:pnbmobilebanking@gmail.com,293,PNB,"Following are the transaction sets supported,•	User profile registration,•	Bank accounts creation,•	Payment address creation,•	Authentication,•	Authorization,•	PIN generation,Core transaction functionality,•	Pay request,•	Collect request,•	Collect request approval (Payer approval through Mobile application),•	Debiting / Crediting Payer / Payee accounts,•	Virtual address resolution for NPCI-UPI,•	Support for all 2-party, 3-party and 4-party models of NPCI UPI,•	Third party address book management,What are the requirements for using UPI?,You should have following:,·  An android phone with internet services,·  An operative bank account,·  The mobile number being registered with UPI, must be linked to the bank account.,·  Active debit card relating to this account for creating mPIN.,How do I register in the PNB UPI application?,·  Tap CLICK ME to verify your mobile number. An SMS will be sent from your mobile for verification. The SMS     should be sent from the mobile number registered with the bank accounts.,·   After your mobile number is verified, the New Registration screen is displayed. Fill in the required details.,·   Create six digits numeric password for logging in to application and confirm the same."
8 August 2016, 2.4M  , 4.3  ,All Bank ATM Balance Checker,3.9," 100,000 - 500,000 ",     2.3 and up   ,"view network connections
full network access",mailto:timeshunt.app@gmail.com,359,Times Hunt,"Here are the list of Indian banks that has been included in this app and soon the more banks will be added to this app.,* Axis Bank,* Andhra Bank,* Allahabad Bank,* Bank of Baroda,* Bharatiya Mahila Bank,* Dhanalakshmi Bank,* IDBI Bank,* Kotak Mahindra Bank,* Syndicate Bank,* Punjab National Bank,* ICICI Bank,* HDFC Bank,* Bank Of India,* Canara Bank,* Central Bank of India,* Karnataka Bank,* Indian bank,* State Bank of India,* Union Bank of India,* UCO Bank,* Vijaya Bank,* Yes Bank,* Karur Vysya Bank,* Federal Bank,* Indian Overseas Bank,* South Indian Bank,* Saraswat Bank,* ABN AMRO,* American Express,* ANZ Bank,* Bank of Maharashtra,* Barclays Bank,* Cashnet India,* Citi Bank,* Centurion Bank of Punjab,* Corporation Bank,* Dena Bank,* Deutsche Bank,* HSBC Bank,* ING Vysya Bank,* Punjab and Sind Bank,* South Indian Bank,* Standard Chartered Bank,* State Bank of Bikaner and Jaipur,* State Bank of Travancore,* United Bank of India,Disclaimer -: All the missed call/customer care numbers listed in this app has been taken from the official website of the corresponding banks. This numbers are subjective to change at any moment. If you are not able to use the service at any point visit your banks official website or contact them.,Please rate this app, your feedback is very important to improve the app."
14 June 2016, 1.9M  , 5.0  ,Citibank IN,4.0," 500,000 - 1,000,000 ",     2.2 and up   ,"approximate location (network-based)
precise location (GPS and network-based),send SMS messages,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,receive data from Internet
view network connections
full network access
control vibration","https://www.google.com/url?q=http://www.citibank.co.in&sa=D&usg=AFQjCNGgW6osomYf_-ysJCpg9c0M9C9F-Q,mailto:Jayanth.Ananthakrishnan@citi.com","15,907",Citibank India,"Smart Banking Features,•Locate the nearest Citibank ATM, branches and retailers offering Citibank Privileges,•Transfer funds, pay your bills or recharge your mobile,•Instant money transfers to other Bank’s accounts (through IMPS),•Request for Statement on E-mail and much more,Get started,You can login to your account with your User ID and your confidential IPIN (Internet PIN)."
23 July 2016, 3.6M  , 5.0  ,PF Balance India,3.8," 100,000 - 500,000 ",     4.0 and up   ,"approximate location (network-based)
precise location (GPS and network-based),view Wi-Fi connections,receive data from Internet
view network connections
full network access
prevent device from sleeping",mailto:shafiqpatel@gmail.com,"1,141",RedStudios,"From the main menu of application choose your choice ,Like ""Know your EPF Balance"" or ""Know your claim status"",-Select the respective state and On selection of office, the mandatory Region Code and Office Code will get populated automatically in the respective boxes.,-Enter your account number which can be of maximum 7 digits.,-Enjoy,About EPFO,The Employees' Provident Fund Organisation abbreviated to EPFO, is a statutory body of the Government of India under the Ministry of Labour and Employment. It administers a compulsory contributory Provident Fund Scheme, Pension Scheme and an Insurance Scheme. It is one of the largest social security organisations in the India in terms of the number of covered beneficiaries and the volume of financial transactions undertaken. The EPFO's apex decision making body is the Central Board of Trustee (CBT)."
21 September 2015, 2.4M  , 4.0.6  ,Vijaya Bank,4.0," 100,000 - 500,000 ",     1.6 and up   ,full network access,"https://www.google.com/url?q=http://mobile.fssnet.co.in/MPAYPORTAL/&sa=D&usg=AFQjCNHnWkv4atJDdhzFLnSJSF9NRmuzrw,mailto:fssnetmpay@gmail.com","5,235",Vijaya Bank,"Features:,* User friendly interface with touch screen UI support,* Balance Inquiry (With combined Available Balance),* Mini Statement (Last 9 transactions with available balance),* Intrabank Funds Transfer (Mobile to Mobile, Mobile to Account),* NEFT,* Interbank Mobile Payment Service (IMPS),* Airline and Movie Ticketing,* Bill Payment and Donations,* Offline Service Requests,* And more.....,For Registration please visit your nearest Branch, get your Application Password and mPIN for activating your Mobile Banking services,(Note: If you are entering the wrong password more than 5 times, your application will be blocked),For more details please visit http://vijayabank.com/"
11 July 2016,,,Idea Money,3.9," 100,000 - 500,000 ",     4.0 and up   ,"read your contacts,read your text messages (SMS or MMS)
receive text messages (SMS),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,view network connections
full network access","https://www.google.com/url?q=http://www.ideacellular.com&sa=D&usg=AFQjCNEG4IMZxyLKlEmrkXGO9VmJnPrCng,mailto:ideamoney1@idea.adityabirla.com","4,254",Idea Mobile Commerce Services Ltd.,"Use this app extensively for making online mobile & data card recharge, DTH recharge, pay your postpaid & utility bills, transfer money to another wallet or bank account instantly as well as to shop online. ,Why Idea Money? ,•	Safe & Secure Experience : Non compromising on any customer data is our first objective.,•	Simple, Fast & Easy to use : The interface has been especially designed keeping Indian users functionalities in mind. To help you simplify & multiply your financial needs is our guiding objective.,•	Carrier Agnostic : You can experience the app on any network & enjoy benefits,•	Best price points : Lowest rates of Idea recharge, postpaid bills to be benefitted,•	Multiple Unique Offers : Coming up with new offers, deals with online & offline partners across retail, lifestyle, food, etc. to offer complete experience,•	Presence across physical channels : Thanks to our 5000 retail partners, you are never alone in the journey & can any time walk in with any grievance of yours,•	You can also login using your facebook or google+ accounts,•	Transactions History : helps you keep track of your past payments,What all functions can be fulfilled with Idea Money?,•	Recharge any Mobile, datacard & DTH number (all operators) ,•	Pay electricity, water, gas, postpaid, landline bills,•	Transfer money to any idea wallet instantly,•	Transfer money to any bank account number instantly,•	Shop for the merchants listed online ,•	24*7 customer care facility on mail & phone,Idea Money is an RBI authorized payment wallet service. To use idea money, download the app and load money into your wallet using net banking, credit or debit card."
1 September 2016, 5.9M  , 0.0.1  ,MyLIC,4.1," 10,000 - 50,000 ",     4.0 and up   ,full network access,"https://www.google.com/url?q=http://www.licindia.in&sa=D&usg=AFQjCNGQFunbVPafsOFnaHnETf5cC9_9wA,mailto:mobilityatlic@gmail.com,https://www.google.com/url?q=http://www.licindia.in/Bottom-Links/Privacy-Policy.aspx&sa=D&usg=AFQjCNGvHY-IM_PzwNjvRcHdZGub5MMmmQ",306,LIFE INSURANCE CORPORATION OF INDIA,
24 September 2013, 2.1M  , 4.0  ,BoI Mobile Banking - BOI BTM,3.7," 500,000 - 1,000,000 ",     2.2 and up   ,"retrieve running apps,approximate location (network-based)
precise location (GPS and network-based),directly call phone numbers
directly call any phone numbers,view network connections
full network access
modify system settings","https://www.google.com/url?q=http://www.bankofindia.com&sa=D&usg=AFQjCNHLqN0xbRIbKE6whd5f1Ob4Ur5MqA,mailto:boi.starconnect@bankofindia.co.in","7,705",BoI Mobile,
8 August 2016, 10M  , v3.0.1  ,Baroda mPassbook,3.7," 500,000 - 1,000,000 ",     4.1 and up   ,"approximate location (network-based)
precise location (GPS and network-based),send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read phone status and identity,read sync statistics
view network connections
create accounts and set passwords
full network access
control vibration
toggle sync on and off","https://www.google.com/url?q=http://www.bankofbaroda.com&sa=D&usg=AFQjCNGlRCpqnYYnY-TAueJItPpoph6PHw,mailto:mpassbook.dc@bankofbaroda.com,https://www.google.com/url?q=http://www.bankofbaroda.co.in/mPassBook/mpassbook_files/terms_and_conditions%2520_mPassBook.pdf&sa=D&usg=AFQjCNFxNACw-Gfm-4Dsd7Uji7yHGIzWqA","9,823",Bank of Baroda,
16 September 2016, 4.9M  , 1.0.37  ,Union Bank UPI App,3.8," 10,000 - 50,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device,approximate location (network-based)
precise location (GPS and network-based),receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage,read the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping
read Google service configuration","https://www.google.com/url?q=http://www.unionbankofindia.co.in/UPI_App.aspx&sa=D&usg=AFQjCNHI2_Ka745fui_NIN8rCQejqVtlxQ,mailto:mbteam@unionbankofindia.com",385,Union Bank of India,"Advantages:         ,•        Real time settlement of Funds ,•        No need to remember or share account details. ,•        Collect Money from others. ,•        Send Money using Virtual id, Account No. ,•        Add multiple bank Account in same application. ,Steps to register ,•        Create your profile. ,•        Add bank account. ,•        Create Virtual Id for linked account. ,•        Set PIN for selected account."
19 August 2016, 11M  , 1.0  ,IDBI Bank mPassbook,3.4," 50,000 - 100,000 ",     4.1 and up   ,"read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,read sync statistics
view network connections
create accounts and set passwords
full network access
read sync settings
control vibration
toggle sync on and off","https://www.google.com/url?q=http://www.idbi.com&sa=D&usg=AFQjCNHJzOhaJ3HJV8FGXG4ZTpjqUE4raQ,mailto:idbibank62@gmail.com,https://www.google.com/url?q=http://www.idbi.com/idbi-bank-policies.asp&sa=D&usg=AFQjCNHQkMRyncj4JF9121WG6gBKBJ8pkw",924,IDBI BANK,
11 June 2015, 2.9M  , 4.3.7  ,U-Mobile,4.0," 500,000 - 1,000,000 ",     1.6 and up   ,full network access,"https://www.google.com/url?q=http://mobile.fssnet.co.in/MPAYPORTAL/&sa=D&usg=AFQjCNHnWkv4atJDdhzFLnSJSF9NRmuzrw,mailto:fssnetmpay@gmail.com","13,711",FSS,"Features:,* No charges - Absolutely FREE,* User friendly interface with touch screen UI support,* Easy to register, download and start the using U-Mobile,* Secure way of transacting banking business,* No restriction on number of transactions. Cumulative maximum in a day is Rs.50000/-,Benefits:,* View the account balance, mini statement.,* Funds transfer to accounts with Union Bank of India & to other bank accounts through (IMPS & NEFT),* Two new modes of Immediate Payment Service (IMPS),	IMPS via beneficiary account number and IFSC code,	IMPS Merchant payment basis Merchant mobile number and MMID or initiated from Merchant website (Pay via IMPS),* One can also seek services like Cheque book request, stop payment of cheque, Request for loans, etc.,* Bills payment - Most of the utility bills can be paid through your mobile using U-Mobile - MTNL. BSNL. Reliance, Vodafone, etc.,* Mobile recharge can be done,* Booking of movie tickets,* Booking of Air tickets for travel in India; the portal will be able to provide fare-wise list of availability for the given segment,For Registration please visit your nearest UBI ATM / Branch, get your Application Password and mPIN for activating your Mobile Banking services"
8 September 2016, 12M  , 2.1.13.9  ,Smart Spends: Money Manager,4.3," 500,000 - 1,000,000 ",     4.0.3 and up   ,"read your text messages (SMS or MMS)
receive text messages (SMS),read phone status and identity,read phone status and identity,receive data from Internet
view network connections
full network access
run at startup
control vibration
prevent device from sleeping","https://www.google.com/url?q=https://www.smartspends.com&sa=D&usg=AFQjCNHO_OswPjwrvg2QFLpe__U1PLYaow,mailto:support@smartspends.com,https://www.google.com/url?q=https://www.smartspends.com/staticPage/privacyPolicy.html&sa=D&usg=AFQjCNFXRHgFPUF78UU4SVv6Y6s5o_8m9Q","10,359",Times Internet Limited,"It is brought to you with a belief that it’s time we all looked at money in a new refreshing way which is simple, more smart and more fun.,★ ,Firstly, let us free you from the burden of managing your expenses. , is an advanced SMS-based expense tracker that automatically aggregates all your spends in one place and then smartly categorizes them too! All of this happens without any manual input and there is no need for any sensitive info such as bank details, passwords, etc. It is your safe and secure companion to get rid of all expense related worries.,★ ,It's time to demystify everything around investment. , is aimed at giving you unified view of your investment portfolio. It'll help you automatically track your investments and also give you actionable insights like never before. It's unique exploration tool is useful for seasoned investors as well as newbies to get hold of most apt mutual funds. Further, we've attempted to make investing more personal and easy with the help of carefully designed 'Themes' of funds. We're starting with Mutual Funds and soon we'll enable tracking of stocks, FD, ULIPs etc.,★ , automatically creates a bill calendar of all your bills. You would instantly know which bills are due when and which have been already paid. Its smart alerts ensure that you never miss a bill by giving you timely reminders.,★ ,Did you know - if you used your debit or credit cards correctly, you could save almost 20% on every spend! How? Each of your debit or credit card usually have at-least one offer on places where you typically spend. , auto-suggests you the best card to use for each of your spend so that you don't miss out on any discount or offer. So don’t forget to check the app before spending anywhere.,★ , brings out offers that are most relevant to YOU based on your spends. Our intelligent system ensures that you save the most while doing any purchase in your day-to-day life, be it online shopping, groceries, movies, dining out, etc.,★ ,The insights that we got by understanding our own spends were sooo interesting that we decided to extend it to all our users. Then we added a fun twist to it as a small attempt to bring a smile to your face.,It is absolutely safe and secured with 4-fold protection. Have a look at answers to some of the FAQs that we get - https://goo.gl/vldtdx.,Here are few raving comments from eminent bloggers, reviewers and news websites -,☆ The Economic Times - ❝Now staying on top of your spends is easy & automated❞ - http://goo.gl/l4yS5N,☆ NextBigWhat - ❝An Expense Manager that also Saves Money❞ - http://goo.gl/5NA66e,☆ FoneArena - ❝Smartspends gives a complete picture of the user’s spends in one single place❞ - http://goo.gl/MAO5Z8,☆ 91mobiles - ❝Smartspends aspires to become your personal expense manager and does succeed in its attempt for the most part❞ - http://goo.gl/5cSzq0,☆ Inc42 - ❝An interactive application to keep an eye on your spendings along with exploring options to save more❞ - http://goo.gl/mlgEqC,☆ TechRadar - ❝Control your money with Times Internet’s mobile app Smart Spends❞ - http://goo.gl/IDUZjp"
16 September 2016, 10M  , 3.4.0.0  ,"IIFL Markets - NSE, BSE Trader",4.4," 500,000 - 1,000,000 ",     4.0.3 and up   ,"retrieve running apps,find accounts on the device
add or remove accounts,find accounts on the device
read your contacts,precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
create accounts and set passwords
full network access
run at startup
use accounts on the device
control vibration
prevent device from sleeping
toggle sync on and off","https://www.google.com/url?q=http://www.indiainfoline.com&sa=D&usg=AFQjCNE1aUdVh8LfSSmGz6hd2mMSMkeGxw,mailto:cs@indiainfoline.com,https://www.google.com/url?q=http://www.indiainfoline.com/privacypolicy&sa=D&usg=AFQjCNHWHYEyKlyacpXaOURI9Tbv2jzX_w","16,692",IIFL,"What’s New,- One swipe trading:   Glimpse through your favorite stock market script and just swipe to trade!,- Price alerts:   One-time alert set up would absolve you of tirelessly glimpsing at your smartphone!,- Intelligent Dual Stock Watch:   Handles multiple segments, and keeps parallel watch, so that you can handle your stock market portfolio better. Each Stock Watchlist can accommodate up to 50 Stock market scripts., ,Why Choose IIFL  ,- Holistic Mobile Trader:   In financial markets, every second counts, and with this trading app, you can buy the shares at the very instant you want. No more phone calls, or turning on your computer.,- In-depth analysis and Expert tips:   Expert view counts, and that’s why our app comes with a complete analysis and award-winning research reports of over 500 stocks.,- Smart Investor Tools:   Idea, Live TV, marketwatch and videos for the latest events and happenings in the world of share market.,- Apply for IPO/OFS from smartphone:   IIFL Markets is the first Share Market App to bring this in India.,- Prestige:   IIFL is the brainchild of India Infoline Ltd. which is one of India’s leading brokerage firms. It also holds distinction for producing award-winning equity research reports.,-  One Tap Support:   Whether you want to request a trading account, send us a feedback, or call us, all that you would ever need is one tap for assistance., ,Favorite Features  ,- Our message board is an open platform for all the users. Get insights to the others take on the stock market.,- Stock tips that are backed with research and complete stock analysis.,- A simplified share market app that puts all the details about any script in an interactive ecosystem.,- One tap information about the stock. All leading financial markets like BSE, NSE, NCDEX, and MCX are included.,- Trade in wide range of markets. Right from stock markets to enhanced level of money control over forex, our app  has all the solutions for you.,- Both guest login and registration – So that you get started the way you want.,- Detailed information about share markets with charts, market-depth and open discussions.,- Insights to Key ratios, IIFL view, Share holding etc.,- Unique Widget based stock watch feature which lets you keep your favorite stocks on the home screen.,- Add price alerts through this trading app so that you don’t miss out on any opportunity.,- Stock tips that help you take a better decision.,- News that directly links to your investments from BSE, NSE, NCDEX, and MCX.,- A smart mobile trader that gets you the power to trade in the share markets on the go. IIFL Markets isn’t just a stock market app but is also a trading app.,- Full-fledged financial market access which includes NSE, Nifty, Sensex, BSE 100, Bank Nifty, BSE MID CAP, along with Commodity and Currency Markets.,- Ability to set up your own alerts so that you have a complete market watch.,- A complete Stock app which fulfills all your needs. ,IIFL app equips you with every feature that gets you complete money control over your investments.,Stock trading through smartphones is now a reality. Convert your phone into the new generation trading platform with IIFL MARKETS app. Freedom to trade in NSE, BSE, MCX and NCDEX on the move. Download our Stock market app now and never again miss a chance to make money."
22 September 2016,  Varies with device ,  Varies with device ,Net Banking App for All Banks,3.9," 100,000 - 500,000 ",  Varies with device   ,"read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping","https://www.google.com/url?q=http://www.appinventortutorial.org&sa=D&usg=AFQjCNFB6_s4chzEx5W2zkvABx3_W2fi0A,mailto:davidpipera@gmail.com",851,Appstop,"Features of Net Banking App for All Bank,- The app provides list of Official Bank Websites and Internet Banking Website Details of all Banks.,- zoom in zoom out the text for clear view,List of Banks Netbanking Details,  ,Allahabad Bank Internet Banking,Andhra Bank Internet Banking,Bank of Baroda Internet Banking,Bank of India Internet Banking,Canara Bank Internet Banking,Central Bank of India Internet Banking,Corporation Bank Internet Banking,Dena Bank Internet Banking,IDBI Bank Internet Banking,Indian Bank Internet Banking,Indian Overseas Bank Internet Banking,Punjab and Sind Bank Internet Banking,Punjab National Bank Internet Banking,State Bank of Bikaner and Jaipur Internet Banking,State Bank of Hyderabad Internet Banking,State Bank of India Internet Banking,State Bank of Mysore Internet Banking,State Bank of Patiala Internet Banking,State Bank of Travancore Internet Banking,Syndicate Bank Internet Banking,Union Bank of India Internet Banking,United Bank of India Internet Banking,Vijaya Bank Internet Banking,Axis Bank Internet Banking,IndusInd Bank Internet Banking,ICICI Bank Internet Banking,ING Vysya Bank Internet Banking,Kotak Mahindra Bank Internet Banking,Karnataka Bank Internet Banking,Karur Vysya Bank Internet Banking,HDFC Bank Internet Banking,Jammu and Kashmir Bank Internet Banking,Yes Bank Internet Banking,Citi Bank  Internet Banking,Royal Bank of Scotland Internet Banking,American Express Bank Internet Banking,Bank of Maharastra Internet Banking,Catholic Syrian Bank  Internet Banking,City Union Bank Internet Banking,Cosmos Bank Internet Banking,Deutsche Bank Internet Banking,Development Credit Bank Internet Banking,Federal Bank Internet Banking,HSBC Bank Internet Banking,Lakshmi Vilas Bank Internet Banking,Saraswat Bank Internet Banking,Standard chartered Bank Internet Banking,UCO Bank Internet Banking,Oriental Bank of Commerce Internet Banking, ,Please leave your feedback so that it help us to improve the App."
